,headline,city,accented_city,latitude,longitude,countrycode,pop
28,Scientists in Paris to look for answers,Paris,Paris,48.85341,2.3488,FR,2138551.0
29,Key Zika Findings in San Diego Institute,San Diego,San Diego,32.71571,-117.16472,US,1394928.0
30,Thailand-Zika Virus in Bangkok,Bangkok,Bangkok,13.75398,100.50144,TH,5104476.0
31,Beijing team cracks Zika secret,Beijing,Beijing,39.9075,116.39723,CN,11716620.0
32,Zika spreading to Salvador,Salvador,Salvador,-12.97111,-38.51083,BR,2711840.0
33,Kuala Lumpur is Hit By Zika Threat,Kuala Lumpur,Kuala Lumpur,3.1412,101.68653,MY,1453975.0
34,First Zika case confirmed in Yangon,Yangon,Yangon,16.80528,96.15611,MM,4477638.0
35,Tallahassee Doctors Discuss Zika Virus,Tallahassee,Tallahassee,30.43826,-84.28073,US,189907.0
36,Zika Virus Reaches San Francisco,San Francisco,San Francisco,37.77493,-122.41942,US,864816.0
37,New Vaccine on Trial in Bethesda District,Bethesda,Bethesda,38.98067,-77.10026,US,60858.0
38,Townsville Zika tests inconclusive,Townsville,Townsville,-19.26639,146.80569,AU,196219.0
39,Mandaluyong City under Siege by Virus,Mandaluyong City,Mandaluyong City,14.5832,121.0409,PH,305576.0
40,Hepatitis E re-emerges in Santa Rosa,Santa Rosa,Santa Rosa,14.31222,121.11139,PH,216650.0
41,Zika worries in San Salvador,San Salvador,San Salvador,13.68935,-89.18718,SV,525990.0
42,Zika virus reported in Cleveland,Cleveland,Cleveland,41.4995,-81.69541,US,388072.0
43,More Zika patients reported in Austin,Austin,Austin,30.26715,-97.74306,US,931830.0
44,"Zika outbreak in Piracicaba, Brazil",Piracicaba,Piracicaba,-22.72528,-47.64917,BR,342209.0
45,Lima tries to address Zika Concerns,Lima,Lima,-12.04318,-77.02824,PE,7737002.0
46,More people in Toronto are infected with Hepatitis E every year,Toronto,Toronto,43.70011,-79.4163,CA,2600000.0
47,18 new Zika Cases in Bogota,Bogota,Bogotá,4.60971,-74.08175,CO,7674366.0
49,Brisbane is infested with Meningitis,Brisbane,Brisbane,-27.46794,153.02809,AU,2189878.0
50,Cholera outbreak in Dakar,Dakar,Dakar,14.6937,-17.44406,SN,2476400.0
51,Zika Virus Transmission Detected in Havana,Havana,Havana,23.13302,-82.38304,CU,2163824.0
52,Zika symtomps spotted in Key West,Key West,Key West,24.55524,-81.78163,US,25755.0
53,Case of Measles Reported in Vancouver,Vancouver,Vancouver,49.24966,-123.11934,CA,600000.0
54,"Seattle scientists get $500,000 grant to pursue Zika vaccine New 7:50 pm",Seattle,Seattle,47.60621,-122.33207,US,684451.0
55,Nashville takes precautions against Zika,Nashville,Nashville,36.16589,-86.78444,US,530852.0
56,Saint Croix under Zika threat,Saint Croix,Saint Croix,17.72751,-64.74698,VI,50601.0
57,Fort Collins Encounters Severe Symptoms of Gonorrhea,Fort Collins,Fort Collins,40.58526,-105.08442,US,161175.0
58,"Zika surfaces in Klang, Malaysia",Klang,Klang,3.03667,101.44333,MY,879867.0
59,Rumors about Meningitis spreading in Guatemala City have been refuted,Guatemala City,Guatemala City,14.64072,-90.51327,GT,994938.0
60,Madison lab developing vaccine against Zika virus [The Wisconsin State Journal],Madison,Madison,43.07305,-89.40123,US,248951.0
61,New Zika Case Confirmed in Sarasota County,Sarasota,Sarasota,27.33643,-82.53065,US,55118.0
62,Lower Hospitalization in Entebbe after Rabies Vaccine becomes Mandatory,Entebbe,Entebbe,0.05621,32.47949,UG,62969.0
64,Second Zika Paitient in Brasilia,Brasilia,Brasília,-15.77972,-47.92972,BR,2207718.0
65,Jacksonville man hit by Zika,Jacksonville,Jacksonville,30.33218,-81.65565,US,868031.0
66,Schools in Shenzhen Closed Due to Malaria Outbreak,Shenzhen,Shenzhen,22.54554,114.0683,CN,10358381.0
67,Caracas patient dies,Caracas,Caracas,10.48801,-66.87919,VE,3000000.0
68,More Quezon City Zika Transmissions,Quezon City,Quezon City,14.6488,121.0509,PH,2761720.0
69,Schools in Sydney Closed Due to Respiratory Syncytial Virus Outbreak,Sydney,Sydney,-33.86785,151.20732,AU,4627345.0
70,Mumbai's Health Minister warns of more Zika cases,Mumbai,Mumbai,19.07283,72.88261,IN,12691836.0
71,Pune woman diagnosed with Zika,Pune,Pune,18.51957,73.85535,IN,2935744.0
72,Hospitals in Hanoi fill up with Zika patients,Hanoi,Hanoi,21.0245,105.84117,VN,1431270.0
74,Authorities are Worried about the Spread of Bronchitis in Silver Spring,Silver Spring,Silver Spring,38.99067,-77.02609,US,71452.0
75,Zika: Delhi for strict monitoring,Delhi,Delhi,28.65195,77.23149,IN,10927986.0
77,Belize City under threat from Zika,Belize City,Belize City,17.49952,-88.19756,BZ,61461.0
78,"Student sick in Campinas, Brazil",Campinas,Campinas,-22.90556,-47.06083,BR,1031554.0
79,More Zika cases in Soyapango,Soyapango,Soyapango,13.71024,-89.13989,SV,329708.0
80,Authorities are Worried about the Spread of Mad Cow Disease in Rome,Rome,Rome,41.89193,12.51133,IT,2318895.0
81,Seoul confirms 14th Zika infection,Seoul,Seoul,37.566,126.9784,KR,10349312.0
82,Hepatitis B Vaccine is now Required in Quebec,Quebec,Québec,46.81228,-71.21454,CA,528595.0
83,Zika outbreak spreads to Mexico City,Mexico City,Mexico City,19.42847,-99.12766,MX,12294193.0
84,Rochester authorities confirmed the spread of Dengue,Rochester,Rochester,43.15478,-77.61556,US,209802.0
85,El Paso fighting Zika,El Paso,El Paso,31.75872,-106.48693,US,681124.0
86,Visitor to Cucuta contracts Zika,Cucuta,Cúcuta,7.89391,-72.50782,CO,721398.0
87,Zika now spreading through Jakarta,Jakarta,Jakarta,-6.21462,106.84513,ID,8540121.0
89,Salt Lake City tests new cure for Respiratory Syncytial Virus,Salt Lake City,Salt Lake City,40.76078,-111.89105,US,192672.0
90,Zika San Antonio Patient Speaks Out,San Antonio,San Antonio,29.42412,-98.49363,US,1469845.0
91,Ebola outbreak in Kampala,Kampala,Kampala,0.31628,32.58219,UG,1353189.0
92,Precautionary Zika measures in Rockhampton,Rockhampton,Rockhampton,-23.38032,150.50595,AU,61724.0
93,Zika arrives in Tegucigalpa,Tegucigalpa,Tegucigalpa,14.0818,-87.20681,HN,850848.0
94,New Zika Case Confirmed in Belo Horizonte,Belo Horizonte,Belo Horizonte,-19.92083,-43.93778,BR,2373224.0
95,Case of Hepatitis E Reported in Melbourne,Melbourne,Melbourne,-37.814,144.96332,AU,4246375.0
96,First Columbus Zika case,Columbus,Columbus,39.96118,-82.99879,US,850106.0
97,New medicine wipes out Tuberculosis in Taipei,Taipei,Taipei,25.04776,121.53185,TW,7871900.0
98,"Zika Patient in Seminole, Florida",Seminole,Seminole,27.83975,-82.79121,US,18153.0
99,Antipolo under threat from Zika Virus,Antipolo,Antipolo,14.62578,121.12251,PH,549543.0
100,Spreading Zika reaches Bacoor,Bacoor,Bacoor,14.45896,120.93851,PH,356974.0
101,Can Zika make it here to Vero Beach?,Can,Çan,40.03328,27.05236,TR,26201.0
102,Zika afflicts patient in Calamba,Calamba,Calamba,14.21167,121.16528,PH,316612.0
103,Hollywood Outbreak Film Premieres,Hollywood,Hollywood,34.09834,-118.32674,US,167664.0
104,Petaling Jaya man ill from Zika,Petaling Jaya,Petaling Jaya,3.10726,101.60671,MY,520698.0
105,Malaria is Spreading in Johannesburg,Johannesburg,Johannesburg,-26.20227,28.04363,ZA,2026469.0
106,Authorities are Worried about the Spread of Norovirus in Buenos Aires,Buenos Aires,Buenos Aires,-34.61315,-58.37723,AR,13076300.0
107,Guangzhou Patient in Critical Condition after Contracting Swine Flu,Guangzhou,Guangzhou,23.11667,113.25,CN,11071424.0
108,Doral hit by Deadly Virus,Doral,Doral,25.81954,-80.35533,US,56035.0
109,Tokyo Encounters Severe Symptoms of Meningitis,Tokyo,Tokyo,35.6895,139.69171,JP,8336599.0
110,Rabies Exposure in Hamilton,Hamilton,Hamilton,43.25011,-79.84963,CA,519949.0
111,Authorities are Worried about the Spread of Influenza in Savannah,Savannah,Savannah,32.08354,-81.09983,US,145674.0
112,Zika Outbreak in Hyderabad,Hyderabad,Hyderabad,17.38405,78.45636,IN,3597816.0
113,Birmingham Residents Recieve Rabies vaccine,Birmingham,Birmingham,52.48142,-1.89983,GB,984333.0
114,Is Zika virus in Majuro?,Majuro,Majuro,7.08971,171.38027,MH,25400.0
115,Spreading Zika ruining Cancun fun,Cancun,Cancún,21.17429,-86.84656,MX,628306.0
116,Cancun hit by Outbreak of Party Fever!,Cancun,Cancún,21.17429,-86.84656,MX,628306.0
117,HIV has Arrived in Fairfax,Fairfax,Fairfax,38.84622,-77.30637,US,24013.0
118,Spanish Flu Outbreak in Barcelona,Barcelona,Barcelona,41.38879,2.15899,ES,1621537.0
119,Santa Barbara tests new cure for Hepatitis C,Santa Barbara,Santa Barbara,34.42083,-119.69819,US,91842.0
120,Spring break ruined by Zika in Fort Lauderdale,Spring,Spring,30.07994,-95.41716,US,54298.0
121,Villavicencio under Zika threat,Villavicencio,Villavicencio,4.142,-73.62664,CO,321717.0
122,Two more Zika cases confirmed in Laredo,Laredo,Laredo,27.50641,-99.50754,US,255473.0
123,New Delhi Addressing Zika Concerns,New Delhi,New Delhi,28.63576,77.22445,IN,317797.0
124,"New Zika Case in Kota Kinabalu, Malaysia",Kota Kinabalu,Kota Kinabalu,5.9749,116.0724,MY,457326.0
125,New medicine wipes out West Nile Virus in Ventura,Ventura,Ventura,34.27834,-119.29317,US,96769.0
126,Meningitis re-emerges in Nassau,Nassau,Nassau,25.05823,-77.34306,BS,227940.0
127,"Zika reaches Johor Bahru, Malaysia",Johor Bahru,Johor Bahru,1.4655,103.7578,MY,802489.0
128,Nha Trang Zika Outbreak,Nha Trang,Nha Trang,12.24507,109.19432,VN,283441.0
129,First Zika Case in Cincinnati,Cincinnati,Cincinnati,39.12711,-84.51439,US,296943.0
130,Molo Cholera Spread Causing Concern,Molo,Molo,-0.24849,35.73194,KE,27896.0
131,Norovirus Exposure in Hong Kong,Hong Kong,Hong Kong,22.27832,114.17469,HK,7012738.0
132,19 new Zika Cases in Sengkang,Sengkang,Sengkang,-4.1279,120.0297,ID,59523.0
133,Zika cases concern Charlotte residents,Charlotte,Charlotte,35.22709,-80.84313,US,827097.0
134,Batangas Tourism Takes a Hit as Virus Spreads,Batangas,Batangas,13.7567,121.0584,PH,237370.0
135,Johannesburg Patient in Critical Condition after Contracting Pneumonia,Johannesburg,Johannesburg,-26.20227,28.04363,ZA,2026469.0
136,Outbreak of Zika in Bacolod City,Bacolod City,Bacolod City,10.66667,122.95,PH,454898.0
137,Respiratory Syncytial Virus Keeps Spreading in Masaya,Masaya,Masaya,11.97444,-86.09417,NI,130113.0
138,Spike of Pneumonia Cases in Springfield,Springfield,Springfield,37.21533,-93.29824,US,166810.0
140,Zika case reported in Jupiter,Jupiter,Jupiter,26.93422,-80.09421,US,62707.0
141,Zika virus confirmed in Westchester,Westchester,Westchester,25.75482,-80.32727,US,29862.0
142,Authorities are Worried about the Spread of Tuberculosis in Abuja,Abuja,Abuja,9.05785,7.49508,NG,590400.0
143,Rumors about Hepatitis D Spreading in San Juan Capistrano have been Refuted,San Juan Capistrano,San Juan Capistrano,33.50169,-117.66255,US,36454.0
144,The Spread of Measles in Spokane has been Confirmed,Spokane,Spokane,47.65966,-117.42908,US,213272.0
145,Zika alert for Rio Grande Valley residents,Rio Grande,Río Grande,-53.78769,-67.70946,AR,52681.0
146,Zika symptoms spotted in Colombo,Colombo,Colombo,6.93548,79.84868,LK,648034.0
147,West Nile Virus Outbreak in Louisville,Louisville,Louisville,38.25424,-85.75941,US,243639.0
148,New details in Baton Rouge cop killings,Baton Rouge,Baton Rouge,30.44332,-91.18747,US,228590.0
149,Hepatitis B has not Left Florence,Florence,Florence,43.77925,11.24626,IT,349296.0
150,More Zika patients reported in Pensacola,Pensacola,Pensacola,30.42131,-87.21691,US,53193.0
151,Outbreak of Zika in Corpus Christi,Corpus Christi,Corpus Christi,27.80058,-97.39638,US,324074.0
152,How to Avoid Rhinovirus in Lemon Grove,Lemon Grove,Lemon Grove,32.74255,-117.03142,US,26709.0
153,Rumors about Rotavirus spreading in Huntsville have been refuted,Huntsville,Huntsville,34.7304,-86.58594,US,190582.0
154,Rhinovirus has Arrived in Athens,Athens,Athens,37.98376,23.72784,GR,664046.0
155,Outbreak of Zika in Panama City,Panama City,Panama City,30.15946,-85.65983,US,38286.0
157,Measles has not Left Brooklyn,Brooklyn,Brooklyn,40.6501,-73.94958,US,2300664.0
158,Escondido neighborhood to get sprayed for Zika virus,Escondido,Escondido,33.11921,-117.08642,US,151451.0
159,"Zika in Belmont, Belmont worry",Belmont,Belmont,37.52021,-122.2758,US,27218.0
160,Influenza has not Left Sacramento,Sacramento,Sacramento,38.58157,-121.4944,US,490712.0
161,Veracruz hit by Zika Concerns,Veracruz,Veracruz,19.18095,-96.1429,MX,428323.0
162,Case of Mumps Reported in Dayton,Dayton,Dayton,39.75895,-84.19161,US,140599.0
163,Authorities are Worried about the Spread of Dengue in Kingston,Kingston,Kingston,17.99702,-76.79358,JM,937700.0
164,Gainesville Deals with Disease Concerns,Gainesville,Gainesville,29.65163,-82.32483,US,130128.0
165,Montevideo Encounters Severe Symptoms of Rotavirus,Montevideo,Montevideo,-34.90328,-56.18816,UY,1270737.0
166,Varicella Keeps Spreading in Detroit,Detroit,Detroit,42.33143,-83.04575,US,677116.0
167,Arhus is infested with Bronchitis,Arhus,Århus,56.15674,10.21076,DK,237551.0
168,Zika Troubles come to Niteroi,Niteroi,Niterói,-22.88333,-43.10361,BR,456456.0
169,Zika cases in Singapore reach 393,Singapore,Singapore,1.28967,103.85007,SG,3547809.0
170,Manhattan Residents Recieve HIV vaccine,Manhattan,Manhattan,40.78343,-73.96625,US,1487536.0
171,Zika arrives in Miri,Miri,Miri,4.39928,113.99163,MY,228212.0
172,Rumors about Dengue Spreading in Syracuse have been Refuted,Syracuse,Syracuse,43.04812,-76.14742,US,144142.0
173,Will Norovirus vaccine help Raleigh?,Raleigh,Raleigh,35.7721,-78.63861,US,451066.0
174,Lower Hospitalization in Auckland after Hepatitis D Vaccine becomes Mandatory,Auckland,Auckland,-36.84853,174.76349,NZ,417910.0
175,How to Avoid Gonorrhea in Shreveport,Shreveport,Shreveport,32.52515,-93.75018,US,197204.0
176,Ithaca is infested with Dengue,Ithaca,Ithaca,42.44063,-76.49661,US,30788.0
177,Will MCD vaccine help Strasbourg?,Strasbourg,Strasbourg,48.58392,7.74553,FR,274845.0
178,New medicine wipes out Measles in Fresno,Fresno,Fresno,36.74773,-119.77237,US,520052.0
179,BREAKING - Zika in Missoula,Missoula,Missoula,46.87215,-113.994,US,71022.0
180,Zika arrives in Santos,Santos,Santos,-23.96083,-46.33361,BR,411403.0
181,Sick Livestock Leads to Serious Trouble for Belfort,Belfort,Belfort,47.64218,6.85385,FR,54562.0
182,Hepatitis E has not Left Libreville,Libreville,Libreville,0.39241,9.45356,GA,578156.0
183,New medicine wipes out Chikungunya in Tucson,Tucson,Tucson,32.22174,-110.92648,US,531641.0
184,Norovirus has Arrived in Winnipeg,Winnipeg,Winnipeg,49.8844,-97.14704,CA,632063.0
185,Hepatitis B Comes to Kansas City,Kansas City,Kansas City,39.09973,-94.57857,US,475378.0
186,More Patients in Cambridge are Getting Diagnosed with Chickenpox,Cambridge,Cambridge,52.2,0.11667,GB,158434.0
187,Chikungunya Exposure in Toledo,Toledo,Toledo,41.66394,-83.55521,US,279789.0
188,Is Lafayette prepared to combat Zika?,Lafayette,Lafayette,30.22409,-92.01984,US,127657.0
189,Mecca tests new cure for Chikungunya,Mecca,Mecca,21.42664,39.82563,SA,1323624.0
190,Zika arrives in San Benito,San Benito,San Benito,16.91675,-89.91898,GT,30764.0
191,Syphilis Outbreak in Harrisburg,Harrisburg,Harrisburg,40.2737,-76.88442,US,49081.0
192,Zika Arrives in North Miami,North Miami,North Miami,25.89009,-80.18671,US,62435.0
193,Urbana Encounters Severe Symptoms of Meningitis,Urbana,Urbana,40.11059,-88.20727,US,42311.0
194,Pittsburgh Residents Recieve Norovirus vaccine,Pittsburgh,Pittsburgh,40.44062,-79.99589,US,304391.0
195,Chikungunya Hits Denver,Denver,Denver,39.73915,-104.9847,US,682545.0
196,Zika case recorded in Tunapuna >>,Tunapuna,Tunapuna,10.65245,-61.38878,TT,17758.0
197,Spike of Respiratory Syncytial Virus Cases in Mandalay,Mandalay,Mandalay,21.97473,96.08359,MM,1208099.0
198,HIV Keeps Spreading in Boulder,Boulder,Boulder,40.01499,-105.27055,US,107349.0
199,More Zika patients reported in Joao Pessoa,Joao Pessoa,João Pessoa,-7.115,-34.86306,BR,650883.0
200,Will Tuberculosis vaccine help Rockville?,Rockville,Rockville,39.084,-77.15276,US,66980.0
201,Mad Cow Disease Re-emerges in Chatham,Chatham,Chatham,51.37891,0.52786,GB,75509.0
202,Zika Virus Arrives in Ontario,Ontario,Ontario,34.06334,-117.65089,US,171214.0
203,Mad Cow Disease Hits Naples,Naples,Naples,40.85216,14.26811,IT,959470.0
204,More Zika patients reported in Davao,Davao,Davao,7.07306,125.61278,PH,1212504.0
205,The Spread of Chikungunya in Arcadia has been Confirmed,Arcadia,Arcadia,34.13973,-118.03534,US,58408.0
206,Oxford tests new cure for HIV,Oxford,Oxford,51.75222,-1.25596,GB,171380.0
207,Outbreak of Zika in Stephenville,Stephenville,Stephenville,32.2207,-98.20226,US,20120.0
208,Providence Encounters Severe Symptoms of Dengue,Providence,Providence,41.82399,-71.41283,US,179207.0
209,Tests negative on Windsor Zika carriers,Windsor,Windsor,42.30008,-83.01654,CA,278013.0
210,Zika battle outlined at Valdosta meeting,Valdosta,Valdosta,30.83334,-83.28032,US,55724.0
211,Zika case reported in Coral Gables,Coral Gables,Coral Gables,25.72149,-80.26838,US,51117.0
212,Hepatitis C Outbreak in Danbury,Danbury,Danbury,41.39482,-73.45401,US,84657.0
213,Chickenpox has Arrived in Chula Vista,Chula Vista,Chula Vista,32.64005,-117.0842,US,265757.0
214,Syphilis Hits Jefferson,Jefferson,Jefferson,38.86456,-77.18776,US,28487.0
215,Will HIV vaccine help Las Vegas?,Las Vegas,Las Vegas,36.17497,-115.13722,US,623747.0
216,Zika arrives in West Palm Beach,West Palm Beach,West Palm Beach,26.71534,-80.05337,US,106779.0
217,Mobile authorities confirmed the spread of Bronchitis,Mobile,Mobile,30.69436,-88.04305,US,194288.0
218,Zika spreads to Daytona Beach,Daytona Beach,Daytona Beach,29.21081,-81.02283,US,64736.0
219,Lausanne Residents Recieve Meningitis vaccine,Lausanne,Lausanne,46.516,6.63282,CH,116751.0
220,Rhinovirus Comes to San Jose,San Jose,San Jose,37.33939,-121.89496,US,1026908.0
221,Spike of Chlamydia Cases in Farmington,Farmington,Farmington,36.72806,-108.21869,US,42871.0
222,Authorities are Worried about the Spread of Rotavirus in Union,Union,Union,40.6976,-74.2632,US,56771.0
223,Rumors about Hepatitis D spreading in Albany have been refuted,Albany,Albany,42.65258,-73.75623,US,98469.0
224,Zika symptoms spotted in Bello,Bello,Bello,6.33732,-75.55795,CO,392939.0
225,Will Meningitis vaccine help Hamburg?,Hamburg,Hamburg,53.57532,10.01534,DE,1739117.0
226,Madera Patient in Critical Condition after Contracting Rabies,Madera,Madera,36.96134,-120.06072,US,64208.0
227,Zika Virus Detected in Lubbock,Lubbock,Lubbock,33.57786,-101.85517,US,249042.0
228,Malaria re-emerges in Boise,Boise,Boise,43.6135,-116.20345,US,145987.0
229,Varicella re-emerges in Lagos,Lagos,Lagos,6.45407,3.39467,NG,9000000.0
230,Vericella spreading in Ibadan,Ibadan,Ibadan,7.37756,3.90591,NG,3565108.0
231,Schools in Birmingham Closed Due to Measles Outbreak,Birmingham,Birmingham,52.48142,-1.89983,GB,984333.0
232,How to Avoid Hepatitis B in Waldorf,Waldorf,Waldorf,38.62456,-76.93914,US,67752.0
235,Tuberculosis Outbreak in Newark,Newark,Newark,40.73566,-74.17237,US,281944.0
236,Zika Virus Sparks 'International Concern',Sparks,Sparks,39.53491,-119.75269,US,96094.0
237,Spike of Chlamydia Cases in Berlin,Berlin,Berlin,52.52437,13.41053,DE,3426354.0
238,Zika-carrying mosquitoes discovered in Ardmore,Ardmore,Ardmore,34.17426,-97.14363,US,25176.0
239,"Zika Mosquitoes May Have Bred in Bromeliads, Florida Officials Say",Florida,Florida,21.52536,-78.22579,CU,63007.0
240,More Livestock in Fontainebleau are infected with Mad Cow Disease,Fontainebleau,Fontainebleau,48.40908,2.70177,FR,19717.0
241,Frisco Woman Tests Positive For Zika Virus,Frisco,Frisco,33.15067,-96.82361,US,154407.0
242,Authorities are Worried about the Spread of Norovirus in Dubai,Dubai,Dubai,25.07725,55.30927,AE,2956587.0
243,Benton Residents Recieve Pneumonia vaccine,Benton,Benton,34.56454,-92.58683,US,34177.0
244,Case of Hepatitis A Reported in Calgary,Calgary,Calgary,51.05011,-114.08529,CA,1019942.0
245,Zika Outbreak in Pinewood,Pinewood,Pinewood,25.86898,-80.21699,US,16520.0
246,Will Swine Flu vaccine help Ljubljana?,Ljubljana,Ljubljana,46.05108,14.50513,SI,272220.0
247,Bronchitis re-emerges in Tehran,Tehran,Tehran,35.69439,51.42151,IR,7153309.0
249,Mad Cow case in Murcia,Murcia,Murcia,37.98704,-1.13004,ES,436870.0
250,Mad Cow Disease Spreads to Margate,Margate,Margate,51.38132,1.38617,GB,60134.0
251,Zika Strikes St. Petersburg,St. Petersburg,St. Petersburg,27.77086,-82.67927,US,257083.0
253,Will the Mad Cow Outbreak Reach Vienna?,Vienna,Vienna,48.20849,16.37208,AT,1691468.0
254,More Patients in Orange are Getting Diagnosed with Chickenpox,Orange,Orange,33.78779,-117.85311,US,140992.0
255,Lower Hospitalization in Richmond after Mumps Vaccine becomes Mandatory,Richmond,Richmond,37.55376,-77.46026,US,220289.0
256,Meningitis re-emerges in Medina,Medina,Medina,24.46861,39.61417,SA,1300000.0
258,Four cases of Zika in Hidalgo County,Hidalgo,Hidalgo,25.97205,-100.45029,MX,16524.0
259,Zika symptoms spotted in Hollywood,Hollywood,Hollywood,34.09834,-118.32674,US,167664.0
260,Zika arrives in Oaxaca,Oaxaca,Oaxaca,17.06542,-96.72365,MX,255029.0
261,More people in Durham are infected with Chlamydia every year,Durham,Durham,35.99403,-78.89862,US,257636.0
262,Authorities are Worried about the Spread of Gonorrhea in Taoyuan City,Taoyuan City,Taoyuan City,24.99368,121.29696,TW,402014.0
263,Swine Flu re-emerges in La Jolla,La Jolla,La Jolla,32.84727,-117.2742,US,42808.0
264,Tuberculosis Outbreak in Hartford,Hartford,Hartford,41.76371,-72.68509,US,124006.0
265,Rumors about Mumps Spreading in New Bedford have been Refuted,New Bedford,New Bedford,41.63526,-70.92701,US,94958.0
266,Respiratory Syncytial Virus Vaccine is now Required in Tulsa,Tulsa,Tulsa,36.15398,-95.99277,US,403505.0
267,More people in Indianapolis are infected with Norovirus every year,Indianapolis,Indianapolis,39.76838,-86.15804,US,829718.0
268,Lower Hospitalization in Dhaka after Measles Vaccine becomes Mandatory,Dhaka,Dhāka,26.67479,85.16698,IN,36111.0
269,Albany Residents Recieve Respiratory Syncytial Virus vaccine,Albany,Albany,42.65258,-73.75623,US,98469.0
271,Rotavirus Vaccine is now Required in Starkville,Starkville,Starkville,33.45049,-88.81961,US,25366.0
272,Schools in Yaounde Closed Due to Mumps Outbreak,Yaounde,Yaoundé,3.86667,11.51667,CM,1299369.0
273,More people in Nadi are infected with HIV every year,Nadi,Nadi,-17.80309,177.41617,FJ,42284.0
274,Tocumen tests new cure for Hepatitis A,Tocumen,Tocumen,9.08939,-79.3831,PA,50844.0
275,Phnom Penh hit by Zika Threat,Phnom Penh,Phnom Penh,11.56245,104.91601,KH,1573544.0
276,Zika Troubles come to Harlingen,Harlingen,Harlingen,26.19063,-97.6961,US,65774.0
277,Zika spreads to Barranquilla,Barranquilla,Barranquilla,10.96854,-74.78132,CO,1380425.0
278,Milwaukee authorities confirmed the spread of Rhinovirus,Milwaukee,Milwaukee,43.0389,-87.90647,US,600155.0
279,Mad Cow Disease Hits Rotterdam,Rotterdam,Rotterdam,51.9225,4.47917,NL,598199.0
280,Zika symptoms spotted in Arlington,Arlington,Arlington,32.73569,-97.10807,US,388125.0
281,West Nile Virus Hits Yogyakarta,Yogyakarta,Yogyakarta,-7.80139,110.36472,ID,636660.0
282,More Patients in Dublin are Getting Diagnosed with Bronchitis,Dublin,Dublin,53.33306,-6.24889,IE,1024027.0
283,Rumors about Tuberculosis Spreading in Baud have been Refuted,Baud,Baud,20.83773,84.32618,IN,18945.0
284,Rumors about West Nile Virus Spreading in Salem have been Refuted,Salem,Salem,11.65376,78.15538,IN,778396.0
285,St. Catharines Patient in Critical Condition after Contracting Dengue,St. Catharines,St. Catharines,43.17126,-79.24267,CA,131989.0
287,More Zika patients reported in Camacari,Camacari,Camaçari,-12.6975,-38.32417,BR,188758.0
288,Outbreak of Zika in Pasig City,Pasig City,Pasig City,14.58691,121.0614,PH,617301.0
289,Zika Troubles come to Kampong Cham,Kampong Cham,Kampong Cham,11.99339,105.4635,KH,61750.0
